流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点
回收,公路,新炼钢,废钢堆场,废连铸坯及试样,废钢类,0.85,0.002328767123287671,32,46,46,32
回收,公路,老炼钢,废钢堆场,废连铸坯及试样,废钢类,0.58,0.0015890410958904109,43,46,46,43
仓配,公路,原料场,老炼钢,钢包改质剂,冶金辅料,0.58,0.0015890410958904109,3,43,43,3
仓配,公路,原料场,老炼钢,合成渣,冶金辅料,0.58,0.0015890410958904109,3,43,43,3
回收,公路,新炼钢,废钢堆场,连铸废旧备件,废钢类,0.43,0.001178082191780822,32,46,46,32
回收,公路,老炼钢,废钢堆场,连铸废旧备件,废钢类,0.29,0.0007945205479452054,43,46,46,43
回收,公路,一棒,450烧结,轧钢皮,副产品,0.1,0.00027397260273972606,31,8,8,31
铁前,公路,炼铁5,450烧结,高炉炉尘,副产品,0.08,0.00021917808219178083,48,8,8,48
回收,公路,老炼钢,450烧结,转炉渣,副产品,0.08,0.00021917808219178083,43,8,8,43
铁前,胶带,原料场,炼铁1-4,焦粉,燃料,0.07,0.00019178082191780824,3,9,9,3
铁前,胶带,原料场,炼铁5,焦粉,燃料,0.06,0.00016438356164383562,3,48,48,3
回收,公路,老炼钢,265+400烧结厂,转炉渣,副产品,0.03,8.219178082191781e-05,43,26,26,43
回收,公路,一棒,265+400烧结厂,轧钢皮,副产品,0.03,8.219178082191781e-05,31,26,26,31
铁前,公路,炼铁5,265+400烧结厂,高炉炉尘,副产品,0.02,5.479452054794521e-05,48,26,26,48
