流转类型,运输方式,来源单元,到达单元,物质名称,物质品类,物质量,日运输量,重车起点,重车终点,空车起点,空车终点,运输车辆的最大装载量,车次,日运输量新,车辆折算系数
仓配,公路,原料场,新炼钢,钢包改质剂,冶金辅料,0.85,0.0024285714285714284,3,32,32,3,38,14,1.7346938775510203,3.284745762711864
仓配,公路,原料场,新炼钢,合成渣,冶金辅料,0.85,0.0024285714285714284,3,32,32,3,20,72,0.33730158730158727,1.7288135593220337
回收,公路,新炼钢,废钢堆场,废连铸坯及试样,废钢类,0.85,0.0024285714285714284,32,46,46,32,25,37,0.6563706563706563,2.161016949152542
回收,公路,老炼钢,废钢堆场,废连铸坯及试样,废钢类,0.58,0.0016571428571428568,43,46,46,43,27,1,16.57142857142857,2.3338983050847455
仓配,公路,原料场,老炼钢,钢包改质剂,冶金辅料,0.58,0.0016571428571428568,3,43,43,3,19,59,0.2808716707021791,1.642372881355932
仓配,公路,原料场,老炼钢,合成渣,冶金辅料,0.58,0.0016571428571428568,3,43,43,3,17,44,0.3766233766233765,1.4694915254237289
回收,公路,新炼钢,废钢堆场,连铸废旧备件,废钢类,0.43,0.0012285714285714287,32,46,46,32,48,65,0.18901098901098903,4.149152542372882
回收,公路,老炼钢,废钢堆场,连铸废旧备件,废钢类,0.29,0.0008285714285714284,43,46,46,43,26,20,0.41428571428571426,2.247457627118644
回收,公路,一棒,450烧结,轧钢皮,副产品,0.1,0.0002857142857142858,31,8,8,31,29,59,0.04842615012106539,2.506779661016949
铁前,公路,炼铁5,450烧结,高炉炉尘,副产品,0.08,0.00022857142857142857,48,8,8,48,41,46,0.04968944099378882,3.5440677966101695
回收,公路,老炼钢,450烧结,转炉渣,副产品,0.08,0.00022857142857142857,43,8,8,43,33,84,0.027210884353741496,2.8525423728813557
回收,公路,老炼钢,265+400烧结厂,转炉渣,副产品,0.03,8.571428571428573e-05,43,26,26,43,21,2,0.4285714285714286,1.8152542372881355
回收,公路,一棒,265+400烧结厂,轧钢皮,副产品,0.03,8.571428571428573e-05,31,26,26,31,39,62,0.01382488479262673,3.371186440677966
铁前,公路,炼铁5,265+400烧结厂,高炉炉尘,副产品,0.02,5.714285714285714e-05,48,26,26,48,39,10,0.05714285714285715,3.371186440677966
